SOPID,StepNumber,StepTitle,StepOrder,StepSummary,FormsReferenced,ResponsibleRole
QP-14,5.3,Development and Revision of Internal Documents,3,"Authors, reviewers, and approvers are identified by Laboratory Manager, Quality Assurance Manager, and/or Laboratory Director.",FM QP14.02,Laboratory Manager
QP-14,5.4,Internal Documents Formatting,4,The Laboratory uses the following templates to issue its documents: ID Type of Document Template TMP-SOP SOP Quality and Technical SOP Template TMP-FM Forms Forms Template TMP-TM Test Methods Test Methods Template Templates are electronic f,,
QP-14,5.5,Identification of Documents,5,Quality System personnel uses the following guidelines to identify internal documents: Identification Revision Type of Document Use Example Structure [ID] Start Describe how quality management system is Quality Management Procedures QP-# 01,FE QP14.01; FM LP01.01; FM QP01.01; PM-01,
QP-14,5.6,Issuing Documents,6,Staff responsible for preparing a new document or new revision of a document shall request the appropriate template from the Quality System Manager.,FE QP14.01; FM QP14.01,
QP-14,5.7,Control of External Documents,7,Documents from external sources are tracked through Master List of Documents.,FE QP14.01,
QP-14,5.8,Removal of Documents,8,Expired documents are stamped with “OBSOLET DOCUMENT” in red ink by Quality Assurance Manager.,FM QP14.01,Quality Assurance Manager
QP-14,5.9,Document Retention and Archival,9,Documents are retained for at least 5 years.,,
QP-14,5.10,Management of Electronic Signatures,10,"Electronic signatures may be used on laboratory documents, procedures, and forms as an alternative to handwritten signatures, subject to the following requirements: A.",FE QP14.01; FM QP14.01; FM QP14.02,Quality Assurance Manager
QP-15,5.1,Overall Description of the Process to Adress Risks and Opportunities,1,Action plans can be initiated by any member of the Laboratory by using the form FM QP15.01 Change Request form and submitting it to their manager or Quality Assurance Manager.,FE QP15.01; FE QP15.02; FM QP15.01,Quality Assurance Manager
QP-15,5.2,Identification of Actions to Address Risks and Opportunities,2,Potential undesired impacts and failures and areas for improvement may be identified using any of the following: A.,,
QP-15,5.3,Action Plan and Management of Change,3,The Laboratory implements actions to address risks and opportunities through a Change Management process which consists of: 1) Determining the potential cause of the problems (risk assessment);,,
QP-15,5.4,Tools for Risk Assessment – Failure Mode Effects Analysis,4,"The Laboratory uses, as a main tool, Failure Modes Effects Analysis.",,
QP-16,5.1,General Steps for Corrective Action Implementation,1,Define the Problem Identify the internal/external problem in quantifiable terms;,,
QP-16,5.2,Initiating a Corrective Action Plan,2,Any member of staff can initiate a request for a corrective action plan using the form FM QP16.01 Corrective Action Plan and logging the corrective action to FE QP16.01 Corrective Action Tracking.,FE QP16.01; FM QP16.01,
QP-16,5.3,Correction,3,A nonconformance detected where a service was not affected but absolute compliance to a statement of intent or clause standard was not met on basis of objective evidence is corrected only with rectification actions and is closed by the Labo,,Laboratory Manager
QP-16,5.4,Root Cause & Corrective Action,4,Once a nonconformance that impacts Laboratory processes or services is detected an evaluation of the need for action to eliminate the cause(s) shall be conducted and/or coordinated by Laboratory Supervision.,FM QP16.02; FM QP16.03,Laboratory Manager
QP-16,5.5,Root Cause Analysis Methodologies,5,Root cause analysis (RCA) for nonconformities shall be documented using one or more of the following methodologies.,FM QP16.02; FM QP16.03; FM QP16.04,
QP-16,5.6,Monitoring for Effectiveness,6,Corrective actions that are implemented are monitored to determine if they are and/or continue to be effective.,,
QP-16,5.7,Corrective Action Timelines,7,Corrective action implementation timelines shall be based on the severity classification of the nonconformity (as defined in QP-13).,FE QP16.01; FM QP16.01; FM QP16.02; FM QP16.03; FM QP16.04,Laboratory Director
QP-17,5.1,General,1,Internal audits scheduled shall be agreed between Quality Assurance Manager and Laboratory Manager.,FM QP17.01; FM QP17.02; FM QP17.03,Laboratory Manager
QP-17,5.2,Internal Audits,2,Internal auditors must remain objective and independent of the specific laboratory activities they are assigned to audit.,PM-05,Quality Assurance Manager
QP-17,5.3,Quality Management System Audits,3,Audits of the entire Quality Management System are conducted at a minimum of once per year.,,Personnel
QP-17,5.4,Process (Technical) Audits,4,The information from specific process (Laboratory Services) audits supports the completion of the comprehensive internal audit and shows performance throughout the year instead of only at one sampling point.,,Laboratory Manager
QP-17,5.5,Internal Audit (Follow-Up/Focused),5,"Follow-up or focused audits may be in response to prior audits, detected nonconformances, complaints, or as effectiveness reviews for planned or completed corrective or preventive actions.",,
QP-17,5.6,Training Requirements,6,"Audits shall be carried out by trained and qualified personnel who are, when resources permit, independent of the activity audited.",,Personnel
QP-17,5.7,External – Second Party Audits,7,"Page 10 of 13 The inappropriate use and total or partial reproduction of this document is strictly forbidden, except if expressly authorized by Vertex Analytical Labs.",,Laboratory Manager
QP-17,5.8,External – Third Party Audits,8,Performed by accreditation organization auditors.,,Laboratory Manager
QP-17,5.9,Nonconformances,9,"Nonconformances may be corrected on the spot if the issue is minor, isolated, and can be easily corrected.",FM QP17.01; FM QP17.02; FM QP17.03; PM-05,
QP-18,5.1,General,1,"The management review process is a platform for determining and providing the resources needed to implement and maintain the quality management system, to continually improve its effectiveness, and to better meet customer requirements.",FM QP18.01; FM QP18.02,Quality Assurance Manager
QP-18,5.2,Review Period,2,"The Laboratory conduct management reviews at least once per year, generally, at the end of the year (final quarter).",,Laboratory Director
QP-18,5.3,Management Review Input,3,Quality Assurance Manager coordinates the reviewing of the following data (at a minimum): ▪ Fulfillment of objectives Quality objectives established through the review period are systematically evaluated to assess progress.,,Quality Assurance Manager
QP-18,5.4,Management Review Output,4,The outputs of the management review are documented by the Quality Assurance Manager and shall include all the decision and actions related to at least: ▪ The effectiveness of the management system and its processes ▪ Improvement of the lab,FM QP18.01,Quality Assurance Manager
QP-18,5.5,Tracking and Monitoring of Action Items,5,All action items identified during the management review must be systematically tracked and monitored to ensure completion and effectiveness.,FM QP18.01; FM QP18.02,Quality Assurance Manager
